Country,Name of holiday,Date of holiday,Year of event,Independence from
 Afghanistan,Afghan Independence Day (Afghan Victory Day),August 19,1919,United Kingdom
 Albania,Flag Day (Dita e Flamurit),November 28,1912,Ottoman Empire
 Algeria,Independence Day,July 5,1962,France
 Andorra,None,,,
 Angola,Independence Day,November 11,1975,Portugal
 Antigua and Barbuda,Independence Day,November 1,1981,United Kingdom
 Argentina,Independence Day,July 9,1816,Spanish Empire
 Armenia,Republic Day,May 28,1918,Russian Soviet Federative Socialist Republic
 Armenia,Independence Day,September 21,1991,Soviet Union
 Australia,Australia Day,January 26,1788,United Kingdom
 Austria,National Day,October 26,1955,"Allied occupying powers (France, United Kingdom, United States and the Soviet Union)"
 Azerbaijan,Independence Day,May 28,1918,Russian Soviet Federative Socialist Republic
 Azerbaijan,Republic Day,October 18,1991,Soviet Union
" Bahamas, The",Independence Day,July 10,1973,United Kingdom
 Bahrain,Independence Day,December 16,1971,United Kingdom
 Bangladesh,Independence Day,March 26,1971,Pakistan
 Bangladesh,Victory Day,December 16,1971,Pakistan
 Barbados,Independence Day,November 30,1966,United Kingdom
 Belarus,Independence Day,July 3,1991,Soviet Union
 Belgium,National Day,July 21,1831,United Netherlands
 Belize,Independence Day,September 21,1981,United Kingdom
 Benin,Independence Day,August 1,1960,France
 Bhutan,National Day,December 17,1907,
 Bolivia,Independence Day,August 6,1825,Spain
 Bosnia and Herzegovina,Independence Day,March 1,1992,Socialist Federal Republic of Yugoslavia
 Botswana,Independence Day,September 30,1966,United Kingdom
 Brazil,Independence Day (Dia da Independência),September 7,1822,"United Kingdom of Portugal, Brazil and the Algarves"
 United Kingdom,British National Day,June 12,,
 Brunei,National Day,February 23,1984,United Kingdom
 Bulgaria,Liberation Day,March 3,1878,Ottoman Empire
 Bulgaria,Independence Day,September 22,1908,Ottoman Empire
 Burkina Faso,Proclamation of Independence Day,December 11,1958,France
 Burkina Faso,Independence Day,August 5,1960,France
 Burundi,Independence Day,July 1,1962,Belgium
 Cambodia,Independence Day,November 9,1953,France
 Cameroon,National Day,May 20,1960,France and United Kingdom
 Canada,Canada Day,July 1,1867,United Kingdom
 Cape Verde,Independence Day,July 5,1975,Portugal
 Central African Republic,National Day,December 1,1958,France
 Central African Republic,Independence Day,August 13,1960,France
 Chad,Republic Day,November 28,1958,France
 Chad,Independence Day,August 11,1960,France
 Chile,Independence Day (part of Fiestas Patrias),September 18,1810,Spanish Empire
" China, People's Republic of",National Day,October 1,1949,
" China, Republic of",National Day,October 10,1911,
 Colombia,Independence Day,July 20,1810,Spanish Empire
 Comoros,Independence Day,July 6,1975,France
" Congo, Democratic Republic of the",Independence Day,June 30,1960,Belgium
" Congo, Republic of the",Republic Day,November 28,1958,France
" Congo, Republic of the",Independence Day,August 15,1960,France
 Costa Rica,Independence Day,September 15,1821,Spanish Empire
 Croatia,Statehood Day,May 30,1990,SFR Yugoslavia
 Cuba,Commencement of the Wars of Independence,October 10,1868,Spanish Empire and United States
 Cyprus,National Day,April 1,1955,United Kingdom
 Cyprus,Independence Day,October 1,1960,United Kingdom
 Czech Republic,Independence Day,October 28,1918,Austria-Hungary
 Czech Republic,Restoration Day,January 1,1993,Czechoslovakia
 Denmark,Constitution Day,June 5,1849,Germany
 Djibouti,Independence Day,June 27,1977,France
 Dominica,Independence Day,November 3,1978,United Kingdom
 Dominican Republic,Independence Day,February 27,1821 and 1844,Spain
 East Timor,Independence Restoration Day,May 20,2002,Indonesia
 Ecuador,Independence Day,August 10,1809,Spanish Empire
 Ecuador,Battle of Pichincha day,May 24,1822,Spanish Empire
 Egypt,,,,
 Egypt,Revolution Day,July 23,1952,United Kingdom
 El Salvador,Independence Day,September 15,1821,Spanish Empire
 Equatorial Guinea,Independence Day,October 12,1968,Spain
 Eritrea,Independence Day,May 24,1991,Ethiopia
 Estonia,Independence Day,February 24,1918,Russian Soviet Federative Socialist Republic
 Estonia,Day of Restoration of Independence,August 20,1991,Soviet Union
 Eswatini,Somhlolo Day,September 6,1968,United Kingdom
 Ethiopia,,,,Kingdom of Italy
